open,close,low,high,avgGas,timestamp
6.98,7.59,4.21,14.9,106304.63521000001,2022-09-24T18:00:57.148Z
4.41,12.66,3.0,14.97,115208.742165,2022-09-24T19:00:58.555Z
4.78,5.0,2.62,9.21,122096.6883508474,2022-09-24T20:00:59.945Z
4.38,6.75,3.84,33.21,124329.55664000002,2022-09-24T21:00:01.862Z
4.09,5.65,2.1,5.94,111699.70530500001,2022-09-24T22:00:03.119Z
3.91,3.25,2.0,6.14,128331.97267666667,2022-09-24T23:00:04.381Z
3.67,4.0,2.96,7.8,214682.6121866666,2022-09-25T00:00:05.562Z
3.03,3.4,2.93,8.58,237296.64324166664,2022-09-25T01:00:06.833Z
5.74,4.48,2.93,10.0,159125.66211833333,2022-09-25T02:00:08.090Z
5.16,6.0,3.3,13.97,188779.0219385965,2022-09-25T03:00:16.545Z
5.85,4.87,3.63,9.44,152407.58174333334,2022-09-25T04:00:22.432Z
5.37,6.2,4.01,7.77,167248.1488866667,2022-09-25T05:00:23.663Z
5.63,5.31,3.0,6.7,139554.4218583333,2022-09-25T06:00:24.682Z
4.71,5.34,3.77,8.88,155324.7195033333,2022-09-25T07:00:25.888Z
6.79,5.32,3.5,10.0,171039.89726499998,2022-09-25T08:00:27.208Z
5.94,5.0,3.63,25.97,158930.43255166663,2022-09-25T09:00:28.492Z
5.4,5.96,3.5,45.0,208531.33070666678,2022-09-25T10:00:29.766Z
7.17,5.59,3.02,13.51,171241.20748499996,2022-09-25T11:00:31.055Z
5.97,9.21,4.24,14.42,104100.93955166664,2022-09-25T12:00:32.209Z
9.72,6.06,4.81,10.1,100791.00388166663,2022-09-25T13:00:33.342Z
7.8,9.13,6.81,14.26,109568.02149666668,2022-09-25T14:00:34.732Z
7.82,8.65,6.95,21.42,97002.64022999998,2022-09-25T15:00:36.062Z
8.98,12.5,7.8,33.86,97388.497085,2022-09-25T16:00:37.476Z
8.0,11.12,6.0,18.83,95411.86462666666,2022-09-25T17:00:38.670Z
6.83,9.6,5.0,13.27,93285.33588666661,2022-09-25T18:00:39.892Z
7.0,6.99,4.07,8.89,115100.8258866667,2022-09-25T19:00:41.204Z
13.58,7.76,6.76,28.24,98452.212045,2022-09-25T20:00:42.504Z
11.57,13.52,8.0,19.28,108231.45877,2022-09-25T21:00:43.763Z
6.31,12.65,4.46,17.65,109347.10355833333,2022-09-25T22:00:45.121Z
5.43,5.26,3.73,8.36,155386.55822666676,2022-09-25T23:00:46.469Z
6.01,5.67,3.43,7.74,162701.025405,2022-09-26T00:00:47.870Z
6.14,4.82,4.24,12.24,134344.95497000002,2022-09-26T01:00:49.165Z
6.83,5.69,3.56,7.82,161183.70603166672,2022-09-26T02:00:50.400Z
6.08,5.73,4.31,7.55,125818.09074655175,2022-09-26T03:00:57.834Z
5.26,5.98,3.5,7.15,192365.14802166665,2022-09-26T04:00:51.752Z
5.59,5.78,4.0,7.14,136027.83432666666,2022-09-26T05:00:53.089Z
5.05,6.57,4.28,9.37,123593.09263999999,2022-09-26T06:00:54.405Z
6.33,5.24,4.11,7.29,118474.57120999997,2022-09-26T07:00:55.549Z
9.08,6.36,4.14,11.7,109315.69702833335,2022-09-26T08:00:56.777Z
5.97,8.82,4.21,9.69,95760.43596500003,2022-09-26T09:00:58.220Z
5.73,5.54,3.5,7.09,143244.10147457628,2022-09-26T10:00:59.775Z
4.76,4.49,3.65,8.13,133907.01694833327,2022-09-26T11:00:01.759Z
9.59,5.64,4.16,9.99,122490.25160166665,2022-09-26T12:00:03.362Z
8.55,6.7,6.7,23.92,100301.006195,2022-09-26T13:00:04.789Z
